threshold,persistence_bars,persistence_s,delay_bars,delay_s,horizon_bars,horizon_s,cost,n_trades,trades_wk,mean_gross,mean_net,sharpe,win_rate
3.5,1,10,0,0,2,20,0.5,705,18.98076923076923,1.7034751773049908,1.2034751773049905,0.1238232868321225,0.39574468085106385
3.5,1,10,0,0,2,20,0.7,705,18.98076923076923,1.7034751773049908,1.0034751773049904,0.10324566476443564,0.3574468085106383
3.5,1,10,0,0,3,30,0.3,670,18.038461538461537,2.266791044776169,1.966791044776169,0.18441090448749523,0.4746268656716418
3.5,1,10,0,0,3,30,0.5,670,18.038461538461537,2.266791044776169,1.766791044776169,0.16565843914784528,0.44328358208955226
3.5,1,10,0,0,3,30,0.7,670,18.038461538461537,2.266791044776169,1.566791044776169,0.1469059738081953,0.4059701492537313
3.5,1,10,0,0,6,60,0.3,587,15.803846153846152,2.194293015332229,1.894293015332229,0.14859404813582075,0.5383304940374787
3.5,1,10,0,0,6,60,0.5,587,15.803846153846152,2.194293015332229,1.6942930153322289,0.13290544590447484,0.504258943781942
3.5,1,10,0,0,6,60,0.7,587,15.803846153846152,2.194293015332229,1.494293015332229,0.11721684367312896,0.4616695059625213
3.5,1,10,0,0,12,120,0.3,493,13.273076923076921,3.275760649087242,2.9757606490872424,0.22337976474985027,0.5720081135902637
3.5,1,10,0,0,12,120,0.5,493,13.273076923076921,3.275760649087242,2.775760649087243,0.2083664763109184,0.5476673427991886
3.5,1,10,0,0,12,120,0.7,493,13.273076923076921,3.275760649087242,2.575760649087242,0.1933531878719864,0.5253549695740365
3.5,1,10,0,0,30,300,0.3,390,10.5,4.496153846153872,4.196153846153872,0.2700039137099721,0.6051282051282051
3.5,1,10,0,0,30,300,0.5,390,10.5,4.496153846153872,3.996153846153872,0.2571347995826408,0.5871794871794872
3.5,1,10,0,0,30,300,0.7,390,10.5,4.496153846153872,3.7961538461538717,0.24426568545530947,0.5794871794871795
3.5,1,10,1,10,1,10,0.3,705,18.98076923076923,0.4058865248227147,0.10588652482271478,0.013339860559949812,0.2794326241134752
3.5,1,10,1,10,1,10,0.5,705,18.98076923076923,0.4058865248227147,-0.09411347517728524,-0.011856661060312386,0.2524822695035461
3.5,1,10,1,10,1,10,0.7,705,18.98076923076923,0.4058865248227147,-0.29411347517728526,-0.03705318268057458,0.2170212765957447
3.5,1,10,1,10,2,20,0.3,705,18.98076923076923,1.012127659574494,0.7121276595744941,0.08334919067076761,0.38156028368794326
3.5,1,10,1,10,2,20,0.5,705,18.98076923076923,1.012127659574494,0.512127659574494,0.05994069373903211,0.3446808510638298
3.5,1,10,1,10,2,20,0.7,705,18.98076923076923,1.012127659574494,0.3121276595744941,0.03653219680729663,0.3021276595744681
3.5,1,10,1,10,3,30,0.3,670,18.038461538461537,0.9350746268657096,0.6350746268657097,0.06190778819525529,0.4253731343283582
3.5,1,10,1,10,3,30,0.5,670,18.038461538461537,0.9350746268657096,0.43507462686570963,0.0424115634757166,0.382089552238806
3.5,1,10,1,10,3,30,0.7,670,18.038461538461537,0.9350746268657096,0.23507462686570949,0.02291533875617789,0.34626865671641793
3.5,1,10,1,10,6,60,0.3,587,15.803846153846152,1.3477853492333,1.0477853492333,0.09558860016926189,0.4787052810902896
3.5,1,10,1,10,6,60,0.5,587,15.803846153846152,1.3477853492333,0.8477853492333001,0.07734276379844277,0.434412265758092
3.5,1,10,1,10,6,60,0.7,587,15.803846153846152,1.3477853492333,0.6477853492333003,0.059096927427623645,0.3969335604770017
3.5,1,10,1,10,12,120,0.3,493,13.273076923076921,2.283569979716045,1.9835699797160449,0.1663349120328685,0.5415821501014199
3.5,1,10,1,10,12,120,0.5,493,13.273076923076921,2.283569979716045,1.783569979716045,0.14956364469833464,0.5233265720081136
3.5,1,10,1,10,12,120,0.7,493,13.273076923076921,2.283569979716045,1.583569979716045,0.13279237736380078,0.5030425963488844
3.5,1,10,1,10,30,300,0.3,390,10.5,3.3282051282051714,3.028205128205172,0.21331407587474432,0.5948717948717949
3.5,1,10,1,10,30,300,0.5,390,10.5,3.3282051282051714,2.8282051282051714,0.1992255933021534,0.5820512820512821
3.5,1,10,1,10,30,300,0.7,390,10.5,3.3282051282051714,2.6282051282051713,0.18513711072956252,0.5717948717948718
4.0,0,0,0,0,1,10,0.3,3302,88.89999999999999,0.811296184130839,0.5112961841308391,0.09308430808719635,0.5793458509993943
4.0,0,0,0,0,1,10,0.5,3302,88.89999999999999,0.811296184130839,0.3112961841308392,0.056673198058893724,0.5181708055723804
4.0,0,0,0,0,1,10,0.7,3302,88.89999999999999,0.811296184130839,0.11129618413083908,0.020262088030591062,0.4594185342216838
4.0,0,0,0,0,2,20,0.3,3189,85.8576923076923,1.0210253998118746,0.7210253998118746,0.12871432623106918,0.5976795233615554
4.0,0,0,0,0,2,20,0.5,3189,85.8576923076923,1.0210253998118746,0.5210253998118746,0.0930111939240374,0.5387268736280966
4.0,0,0,0,0,2,20,0.7,3189,85.8576923076923,1.0210253998118746,0.32102539981187456,0.057308061617005635,0.4891815616180621
4.0,0,0,0,0,3,30,0.3,3081,82.94999999999999,1.0656929568322113,0.7656929568322113,0.12033815360582405,0.5900681596884129
4.0,0,0,0,0,3,30,0.5,3081,82.94999999999999,1.0656929568322113,0.5656929568322112,0.08890567077257941,0.5456020772476469
4.0,0,0,0,0,3,30,0.7,3081,82.94999999999999,1.0656929568322113,0.3656929568322112,0.05747318793933476,0.4949691658552418
4.0,0,0,0,0,6,60,0.3,2880,77.53846153846153,1.0338888888889013,0.7338888888889011,0.11138732424163883,0.5663194444444445
4.0,0,0,0,0,6,60,0.5,2880,77.53846153846153,1.0338888888889013,0.5338888888889013,0.08103195957321394,0.5329861111111112
4.0,0,0,0,0,6,60,0.7,2880,77.53846153846153,1.0338888888889013,0.3338888888889013,0.05067659490478903,0.5034722222222222
4.0,0,0,0,0,12,120,0.3,2635,70.9423076923077,0.774440227703971,0.47444022770397104,0.07222127173751305,0.5411764705882353
4.0,0,0,0,0,12,120,0.5,2635,70.9423076923077,0.774440227703971,0.27444022770397103,0.04177643695315079,0.5138519924098671
4.0,0,0,0,0,12,120,0.7,2635,70.9423076923077,0.774440227703971,0.07444022770397117,0.011331602168788544,0.48842504743833015
4.0,0,0,0,0,30,300,0.3,2321,62.488461538461536,0.8392072382594052,0.5392072382594051,0.06899848084032052,0.5329599310641965
4.0,0,0,0,0,30,300,0.5,2321,62.488461538461536,0.8392072382594052,0.33920723825940524,0.0434059160731813,0.5109866436880655
4.0,0,0,0,0,30,300,0.7,2321,62.488461538461536,0.8392072382594052,0.13920723825940537,0.017813351306042075,0.48987505385609653
4.0,0,0,1,10,1,10,0.3,3302,88.89999999999999,0.21933676559662216,-0.08066323440337787,-0.019133085216058457,0.3464566929133858
